title,abstract
Rotlewi versus Rubinstein,"Rotlewi versus Rubinstein is a game of chess played between Gersz Rotlewi and Akiba Rubinstein in Łódź, Poland in 1907. It features a brilliant sacrifice by Rubinstein to win the game (of a queen and rook for two minor pieces), in an example of an overload."
"Botvinnik versus Capablanca, AVRO 1938","In Rotterdam on 22 November 1938, then future World Chess Champion Mikhail Botvinnik (as white) defeated former World Champion José Raúl Capablanca in round 11 of the AVRO tournament in one of the most famous games in chess history.This was to be their last game before Capablanca's 1942 death."
Levitsky versus Marshall,"Levitsky versus Marshall is a famous game of chess played by Stepan Levitsky and Frank Marshall. It was played in Breslau (now Wrocław) on July 20, 1912, during the master's tournament of the DSB Congress."
Oceania Chess Championship,Leading chess players from the FIDE Oceania Zone 3.6 are allowed to play in the Oceania Chess Championships.
Michael Belcher,"Michael Wayne Belcher II (born November 10, 1972) is a local tournament director of the United States Chess Federation and Chief/Deputy Arbiter of FIDE (World Chess Federation)."
Dragonfly,"Dragonfly (also known as Shuttle Chess or Bird Chess) is a chess variant invented by Christian Freeling in 1983.Pritchard (1994), p."
Peter Gvozdják,Peter Gvozdják (born 16 November 1965) is a Slovak chess composer.
Chessence,Chessence is a chess variant invented by Jim Winslow in 1989. The board is a 6×9 rectangle of squares with eight squares missing (blackened out in the diagram).
William Addison,"William (Bill) Grady Addison (November 28, 1933 in Baton Rouge, Louisiana – October 29, 2008 in San Francisco) was an American chess International Master (1967)."
Women's World Chess Championship 1934,The Women's World Chess Championship 1934 was held in Rotterdam in the Netherlands.
Women's World Chess Championship 1937,The sixth Women's World Chess Championship took place during the 1937 Stockholm Olympiad. The final results were as follows:Stanisław Gawlikowski Olimpiady szachowe 1924 - 1974 Wyd.
Women's World Chess Championship 1937,"After their 1934 match (won +3 =0 -1 by Menchik), reigning Women's World Chess Champion Vera Menchik and Sonja Graf played a second championship match in Semmering in 1937."
Women's World Chess Championship 1939,The 7th Women's World Chess Championship took place during the 1939 Olympiad in Buenos Aires. The final results were as follows:Tables 1939—Players and gamesI campionati del mundo feminile (The World Chess Championship for Women)Campeonato Mundo femenino (Women's World Championship) Buenos Aires 1939http://www.
Women's World Chess Championship 1953,"The 1953 Women's World Chess Championship was the first to feature a Candidates Tournament that produced a challenger for the reigning champion, much like the system used for the open championship title."
Women's World Chess Championship 1956,"The 1956 Women's World Chess Championship was won by Olga Rubtsova, who became the fourth women's champion."
Women's World Chess Championship 1958,"The 1958 Women's World Chess Championship was a rematch between defending champion Olga Rubtsova and ex-champion Elisabeth Bykova, who she had won the title from in 1956."
Women's World Chess Championship 1959,"The 1959 Women's World Chess Championship was won by Elisabeth Bykova, who successfully defended her title in a match against challenger Kira Zvorykina."
Women's World Chess Championship 1962,"The 1962 Women's World Chess Championship was won by Nona Gaprindashvili, who beat the reigning champion Elisabeth Bykova in the title match."
Women's World Chess Championship 1965,"The 1965 Women's World Chess Championship was won by Nona Gaprindashvili, who successfully defended her title against challenger Alla Kushnir in what was to be the first of three consecutive title matches between the two strongest female players of their time."
Women's World Chess Championship 1969,"The 1969 Women's World Chess Championship was won by Nona Gaprindashvili, who successfully defended her title against challenger Alla Kushnir. This was the second of three consecutive title matches between the two strongest female players of their time."
Women's World Chess Championship 1972,"The 1972 Women's World Chess Championship was won by Nona Gaprindashvili, who successfully defended her title against challenger Alla Kushnir. This was the third (and last) consecutive title match between the two strongest female players of their time."
Women's World Chess Championship 1975,"The 1975 Women's World Chess Championship was won by Nona Gaprindashvili, who successfully defended her title against challenger Nana Alexandria. This was Gaprindashvili's fourth title defense - and the last successful one."
Women's World Chess Championship 1978,"The 1978 Women's World Chess Championship was won by Maia Chiburdanidze, who defeated the incumbent champion Nona Gaprindashvili At only 17 years of age, Chiburdanidze became the sixth and youngest Women's World Champion (Gaprindashvili had been 20 when she first won the title)."
Women's World Chess Championship 1981,"The 1981 Women's World Chess Championship was won by Maia Chiburdanidze, who successfully defended her title against challenger Nana Alexandria after a closely fought match, which ended in an 8-8 tie."
Women's World Chess Championship 1984,"The 1984 Women's World Chess Championship was won by Maia Chiburdanidze, who successfully defended her title against challenger Irina Levitina."
Women's World Chess Championship 1986,"The 1986 Women's World Chess Championship was won by Maia Chiburdanidze, who successfully defended her title against challenger Elena Akhmilovskaya."
Women's World Chess Championship 1988,"The 1988 Women's World Chess Championship was won by Maia Chiburdanidze, who successfully defended her title against challenger Nana Ioseliani."
Women's World Chess Championship 1991,"The 1991 Women's World Chess Championship was won by Xie Jun, who defeated the incumbent champion Maia Chiburdanidze in the title match."
Women's World Chess Championship 1993,"The 1993 Women's World Chess Championship was won by Xie Jun, who successfully defended her title against challenger Nana Ioseliani in the title match."
Women's World Chess Championship 1996,"The 1996 Women's World Chess Championship was won by Hungarian Zsuzsa Polgar, who defeated the incumbent champion Xie Jun in the title match. Polgar was seeking American Citizenship at the time."
Women's World Chess Championship 1999,"The 1999 Women's World Chess Championship was won by former champion Xie Jun, who regained her title after defeating Alisa Galliamova. Previous to the match, reigning champion Susan Polgar had been stripped of her title after much controversy."
Women's World Chess Championship 2000,"The Women's World Chess Championship 2000 was a change from previous championship cycle in that, for the first time, it consisted of a 64-player knock-out tournament which took place from November 27 to December 16, 2000 in New Delhi, India.  Despite the change in format, the tournament was still won by defending champion Xie Jun of China, who beat her compatriot Qin Kanying in the final by 2½ to 1½."
Development of the Women's World Chess Championship,"While the World Chess Championship title, contested officially since 1886 and unofficially long before that, is in theory open to all players, it was for many years contested solely by men. In 1927, FIDE therefore established a Women's World Chess Championship exclusively for female players."
Carlos Cuartas,Carlos Enrique Cuartas Bedoya (born 15 August 1940; died 10 July 2011) was a Colombian chess International Master.
Against Chess Olympiad,"The Against Chess Olympiad ( al-Awlambayād aḍ-ḍādi ash-Shatranji) was arranged as an alternative to the official 22nd Chess Olympiad, held in Haifa, Israel, almost simultaneously. This unofficial Olympiad took place in Tripoli, Libyan Arab Republic from October 24 to November 15, 1976."
Rhombic Chess,"Rhombic Chess is a chess variant for two players created by Tony Paletta in 1980.Pritchard (1994), p."
Chess World Cup 2013,"The Chess World Cup 2013 was a 128-player single-elimination chess tournament, played between 11 August and 2 September 2013, in the hotel Scandic Tromsø in Tromsø, Norway. It was won by Vladimir Kramnik, who defeated Dmitry Andreikin 2½–1½ in the final match."
Chess in Azerbaijan,"Chess is one of the most popular sports in Azerbaijan, where it is governed by the Azerbaijan Chess Federation (ACF). On May 5, 2009 Azerbaijani president Ilham Aliyev, who is also the chairman of the National Olympic Committee, signed an executive order initiating a state-supported chess development program, covering the years 2009–2014."
Christie Hsiao,"Christie Hsiao is the founder, president, and CEO of Serenity Media Group, Inc. She has also appeared in the films The Pool Boys (2011) and That Game of Chess (2005)."
List of Internet chess servers,This is a list of notable internet chess servers.
Chess in India,Chess has risen in popularity in India in the last few decades primarily due to chess Grandmaster and former World Champion Viswanathan Anand.
Veniamin Sozin,"Veniamin Innokentevich Sozin (, 1896–1956) was a Russian chess master, author, and theoretician."
Wolf Chess,Wolf Chess is a chess variant invented by Dr. Arno von Wilpert in 1943.
Maurice W. Johnson,Maurice W. Johnson is a retired English International Correspondence Chess Grandmaster.
Triangular Chess,"Triangular Chess is a chess variant for two players invented by George R. Dekle, Sr."
António Fernandes,"António Fernandes (born 18 October 1962) is a chess player from Pampilhosa da Serra, Portugal.  Fernandes became an International Master (IM) in 1985 and earned the Grandmaster (GM) title in 2003."
Immortal Draw,"The Immortal Draw is a chess game played in 1872 in Vienna by Carl Hamppe and Philipp Meitner. This game is the main claim to fame of both Hamppe and Meitner, and has been reprinted widely."
